x_off_cm,y_off_cm
-2.459,2.959
3.198,-3.540
-3.479,-2.141
1.594,-1.780
-0.514,1.092
0.717,1.303
-2.537,-0.568
1.825,-2.887
-0.967,3.018
0.957,-3.034
-1.060,1.055
1.043,1.220
-0.381,-0.735
0.570,-0.450
0.621,-1.063
3.559,4.864
4.427,1.133
-4.624,0.162
3.980,2.420
2.694,-1.091
-3.206,-2.837
-2.393,-3.352
-1.758,-4.230
3.067,-2.151
-0.354,4.081
-3.758,4.048
2.070,0.328
4.961,3.937
2.004,0.624
-1.142,3.027
3.488,-2.388
-4.189,-1.032
-3.470,1.011
-0.971,-3.236
-0.693,1.320
0.004,-3.738
0.926,1.000
0.407,-1.291
-4.295,-4.304
-4.562,-4.081
0.282,2.582
-4.345,-4.493
-0.604,-3.582
3.806,-4.966
-0.458,1.406
4.165,-1.785
-4.368,3.908
-1.159,2.276
3.951,1.479
-3.807,2.231
1.054,2.696
-4.242,1.110
-0.350,3.708
2.512,-4.976
-1.919,-3.419
0.313,-0.446
4.800,3.410
-1.823,1.170
-1.764,0.766
-2.658,-0.889
0.470,-3.777
2.352,4.565
2.390,1.497
0.947,-0.347
0.456,0.052
1.794,-4.020
1.686,-1.890
-1.331,-1.731
-4.945,3.059
-3.863,-2.088
2.867,-3.227
-1.075,4.862
4.626,-2.840
-4.145,4.281
2.469,-4.149
1.757,4.053
1.357,1.880
2.334,-1.589
3.408,4.877
0.880,-2.724
2.433,-0.282
-3.198,2.944
0.827,0.544
3.167,4.766
-4.819,-1.435
2.144,2.474
0.724,-3.887
-0.123,-2.147
-1.775,-3.118
3.618,3.549
-2.051,-1.568
2.097,2.622
-0.210,1.532
-1.955,4.186
-0.529,-0.534
0.097,-0.205
2.415,-0.908
2.350,2.907
0.692,4.290
4.017,3.369
-3.485,-0.500
-4.006,4.639
-1.926,1.510
-1.400,2.208
-3.235,3.643
-2.054,-3.426
-0.670,-1.637
-1.443,4.986
-4.267,3.909
1.553,0.254
-4.991,2.744
0.489,-1.822
1.560,4.799
-3.556,-3.107
-1.149,-2.264
0.892,-4.626
1.982,-0.638
1.705,-1.354
3.134,-1.756
0.984,4.780
0.227,1.364
-0.911,0.491
-4.865,-3.314
1.994,4.475
0.096,-4.360
2.384,0.289
-2.636,-4.920
-3.002,2.559
-1.511,0.259
-2.275,3.395
-4.924,-1.166
3.964,-2.133
-3.100,-0.602
-2.426,-3.354
2.063,3.866
-1.259,2.535
-0.848,-3.602
-2.894,3.335
-3.448,3.116
-3.055,4.523
-0.691,-4.242
-1.687,-1.515
0.744,0.560
0.493,3.777
1.185,3.149
-0.001,0.734
2.654,4.264
1.219,-3.594
-4.120,1.336
-0.855,3.427
-1.411,1.465
2.472,3.811
-3.569,2.306
-3.742,2.767
-0.009,-1.541
-0.025,-2.777
1.070,-2.116
3.554,-3.725
-4.236,-1.606
3.648,-4.125
3.283,2.466
-3.955,-1.365
3.253,-2.792
-2.191,-3.659
0.722,-4.158
-0.638,-0.265
-2.556,-3.638
-2.212,-0.724
-2.159,4.957
0.406,-2.803
3.353,-1.264
-3.058,1.423
0.039,1.857
-2.094,1.488
-1.931,4.546
0.217,-3.841
-1.052,4.964
-0.502,1.217
-1.683,-4.494
-0.728,2.734
3.959,-4.220
3.429,-2.983
-3.956,-4.125
0.641,4.430
-0.435,-1.878
